"group","WATER_2006","APR_MAY_07","SUMMER_07"
4,81,14,36
3,142,31,67
4,57,15,30
2,59,14,27
3,32,9,18
4,65,10,20
2,39,5,6
3,54,17,35
4,37,12,31
3,33,10,20
4,45,21,14
3,39,15,20
4,86,23,48
2,52,20,28
4,60,15,37
2,29,8,13
2,63,16,31
1,43,12,23
4,35,6,22
1,37,13,18
3,61,15,28
3,30,12,16
1,35,11,23
4,36,11,21
4,35,12,27
4,30,10,20
3,30,10,19
1,39,7,22
4,83,10,20
2,29,11,1
3,32,10,19
4,32,7,26
4,56,11,32
4,24,8,32
4,31,9,14
4,80,14,50
3,65,13,33
4,73,17,23
4,236,44,76
1,58,19,25
4,30,8,18
3,46,13,20
4,25,0,9
4,55,18,38
4,85,15,48
2,29,2,0
4,35,10,20
4,56,12,26
4,51,17,36
4,40,10,21
4,60,1,20
4,56,7,24
3,47,15,25
4,29,10,19
4,46,13,28
4,36,6,13
4,40,11,22
4,44,13,23
4,44,12,25
3,38,11,21
3,26,11,23
1,74,28,51
2,57,15,39
4,34,10,23
4,76,16,33
4,49,16,33
2,48,22,31
4,52,15,40
4,46,14,29
3,28,8,16
4,52,16,44
4,26,6,17
4,29,7,8
1,37,7,12
2,34,16,17
4,47,8,23
2,80,64,59
3,61,11,26
4,55,18,33
4,30,13,8
4,30,7,19
4,57,19,25
2,77,12,45
4,51,13,26
4,33,6,14
3,24,4,17
4,43,15,43
1,39,14,28
1,64,28,26
3,69,26,73
4,59,15,28
4,27,7,16
2,49,9,40
4,107,5,44
3,44,11,14
4,57,9,31
4,36,13,26
4,32,8,16
1,47,11,21
4,40,12,33
4,68,25,43
4,138,14,59
4,41,8,16
4,64,8,26
4,40,16,25
2,28,9,16
4,57,19,35
4,320,4,13
4,65,8,16
4,62,9,39
2,75,11,32
4,44,15,42
4,59,15,32
4,43,10,22
4,52,40,22
4,47,14,27
2,39,13,25
4,55,47,133
4,45,16,23
4,162,51,118
4,49,14,23
4,32,9,19
4,64,16,35
4,52,10,29
3,312,71,167
4,34,16,22
4,31,20,19
4,39,13,33
1,43,10,23
4,83,23,34
4,63,5,23
4,26,6,35
4,43,10,30
4,92,10,20
4,67,12,34
4,34,15,26
4,42,14,24
4,58,16,35
1,106,38,93
4,24,9,18
1,31,8,20
4,30,6,10
4,33,10,21
4,66,7,26
4,45,11,26
4,33,9,13
4,41,10,30
4,48,12,32
1,22,4,11
4,37,24,26
4,39,18,22
3,24,8,14
4,63,11,23
4,38,10,22
2,26,7,13
4,35,10,24
2,59,9,20
4,93,33,64
1,26,6,15
1,23,7,17
2,33,9,24
2,39,10,21
4,39,3,7
4,61,13,34
4,38,8,13
3,45,14,30
4,31,9,20
4,25,8,14
4,40,7,18
4,43,7,17
3,86,22,44
4,25,10,18
4,26,7,11
1,63,11,31
4,41,5,18
4,46,11,25
2,71,23,36
2,50,12,25
3,39,9,22
2,69,26,77
4,25,7,20
4,37,11,23
3,58,13,27
4,28,9,16
4,35,9,13
2,36,6,26
4,30,20,40
4,41,6,22
4,56,16,34
4,35,13,29
4,28,8,16
1,50,10,12
1,32,11,19
1,53,7,42
4,37,9,20
4,57,13,28
4,26,8,14
4,40,9,11
4,36,18,22
3,26,7,16
2,32,11,38
4,33,15,15
4,34,10,19
4,30,8,18
1,98,24,91
4,45,15,37
1,54,14,27
2,99,40,61
4,25,9,15
4,29,7,57
4,38,23,38
4,33,5,10
3,33,7,14
1,36,13,21
2,49,11,25
4,31,5,17
2,32,9,22
3,36,9,22
1,46,9,20
2,34,10,15
4,49,7,42
4,32,8,16
4,51,16,42
4,43,6,54
3,35,10,17
4,33,10,13
4,27,8,17
1,36,15,21
4,44,6,14
1,64,34,18
3,33,9,46
4,43,20,32
4,67,16,37
1,108,13,71
4,30,8,19
2,54,11,20
4,34,9,20
4,27,8,17
4,50,8,15
3,35,6,16
4,68,16,41
4,59,17,33
4,32,8,18
4,23,5,11
4,43,13,18
2,29,8,15
4,46,7,14
1,35,15,29
4,61,8,17
4,38,15,26
4,63,16,28
4,32,9,17
4,71,21,27
3,27,14,33
2,37,10,21
4,34,5,2
4,32,7,0
4,41,15,23
4,86,21,54
4,37,18,37
4,57,9,35
4,46,8,39
2,94,13,48
3,30,11,17
1,36,12,23
1,35,14,28
3,105,11,14
4,26,8,16
3,23,7,10
4,49,11,28
4,39,14,27
4,49,30,24
4,24,6,15
3,42,26,29
4,26,8,20
4,24,10,21
2,22,8,16
3,25,9,17
4,23,4,9
4,33,18,25
4,48,10,19
1,38,6,8
4,33,16,25
4,39,13,24
4,37,10,23
3,40,8,14
4,55,10,23
1,26,5,12
4,28,7,24
4,30,9,18
4,39,16,17
4,47,16,31
3,36,10,18
1,88,17,62
4,45,13,22
4,28,9,13
3,38,10,40
4,67,15,33
3,31,2,19
2,46,15,29
4,67,22,46
4,46,11,69
4,41,10,20
4,80,14,54
4,34,9,21
4,67,11,21
4,29,11,8
4,71,18,49
4,83,22,55
4,48,7,22
1,36,14,28
4,24,6,12
3,28,10,20
4,23,8,33
4,30,10,24
2,36,11,21
4,50,11,18
4,59,12,18
4,54,9,32
4,88,16,46
4,56,26,52
4,102,18,82
4,33,7,13
3,55,10,35
4,51,12,31
1,64,6,19
4,42,14,20
4,53,19,41
4,89,13,27
4,55,18,43
3,37,9,5
4,24,5,8
4,38,14,19
4,60,18,34
4,45,10,78
4,35,10,18
1,24,6,11
2,89,16,32
4,68,7,31
4,125,28,62
2,53,19,49
4,45,7,21
4,94,0,55
4,218,22,105
3,34,13,25
4,87,34,123
4,40,6,17
2,74,16,48
4,31,8,17
4,63,15,32
4,67,18,36
4,71,19,23
4,27,10,20
4,39,12,23
4,75,11,46
4,65,29,53
4,46,6,30
4,45,10,24
1,114,19,39
4,46,11,23
4,99,19,65
4,67,13,35
4,71,27,34
4,38,11,24
4,29,8,14
4,45,6,22
2,189,42,81
2,43,11,28
2,37,8,39
4,100,27,100
3,67,21,46
4,30,12,24
4,48,14,14
2,52,17,32
4,28,7,25
1,30,12,27
1,43,10,24
4,64,9,54
4,25,9,59
4,121,32,121
4,126,37,92
4,104,21,56
2,97,23,51
4,53,15,65
3,143,24,47
4,47,20,46
4,123,10,36
2,59,15,58
3,45,15,59
4,65,14,35
4,42,11,18
4,82,22,49
4,167,28,88
4,26,6,11
4,52,7,37
4,121,32,87
4,57,14,29
1,30,10,24
3,64,16,50
3,48,20,32
4,38,30,14
3,24,5,12
4,50,12,35
4,112,29,51
3,92,23,71
4,59,21,41
2,41,7,17
1,36,9,19
4,65,15,42
4,26,14,18
4,36,16,30
4,115,20,30
4,150,70,84
2,26,11,21
2,57,39,47
4,30,10,16
4,45,2,6
2,115,23,27
4,26,7,17
3,79,10,44
4,35,4,16
2,30,8,13
3,52,7,19
4,59,27,55
4,44,21,38
2,22,14,83
4,106,12,56
4,117,22,75
4,61,14,30
4,23,7,13
4,22,5,8
4,34,10,22
4,61,14,32
3,36,12,41
4,29,7,20
4,54,18,42
1,60,17,32
4,48,11,46
4,44,9,15
4,79,34,75
4,88,17,43
4,40,9,26
3,37,5,11
2,41,15,25
1,41,13,36
4,24,8,28
4,46,16,28
2,33,11,23
4,42,11,32
4,48,17,28
4,30,10,20
3,27,9,17
3,62,12,31
3,30,9,21
4,29,9,40
4,42,10,32
4,32,15,48
4,29,7,22
4,29,9,17
4,27,6,17
4,26,8,9
4,33,10,26
3,37,12,15
4,33,6,16
1,119,6,8
4,45,14,27
4,34,12,21
4,24,6,13
4,31,8,15
1,46,11,21
4,140,37,90
4,45,9,28
4,100,22,67
2,39,9,19
2,22,4,13
3,56,15,34
4,43,11,19
4,46,12,27
2,34,9,20
2,31,9,19
4,32,13,22
1,72,21,53
4,48,14,30
4,38,7,16
1,62,13,26
4,25,4,13
4,36,8,27
2,37,7,36
4,41,5,10
1,42,5,46
1,74,25,21
4,45,11,27
4,93,19,53
4,92,14,37
4,76,15,48
3,64,23,39
4,82,31,78
4,65,19,48
4,157,27,76
4,53,8,28
3,35,11,24
1,73,19,33
1,40,6,22
3,29,9,20
4,39,13,23
4,52,7,15
1,45,13,25
3,78,19,46
4,31,12,18
4,29,11,19
1,79,14,64
4,41,11,22
4,42,15,32
4,46,9,32
4,70,24,40
4,70,23,37
4,26,8,22
2,34,9,24
2,30,17,24
3,39,14,24
4,28,9,25
1,22,9,11
4,37,14,43
4,113,21,70
2,26,5,11
1,48,11,16
2,74,16,53
4,170,13,107
4,27,8,15
1,40,8,28
4,25,8,3
4,27,7,17
4,36,9,20
3,40,13,25
3,57,18,35
1,25,22,14
2,30,7,16
4,93,24,45
4,39,13,39
4,34,9,1
4,54,13,23
4,37,10,26
2,37,13,24
2,22,5,11
2,70,19,40
4,25,10,14
3,33,8,15
3,50,10,15
4,25,17,21
4,31,8,22
4,24,8,19
3,32,9,16
4,31,5,9
4,71,9,28
4,55,18,31
4,40,15,34
4,29,8,25
4,73,33,49
4,64,22,60
1,45,12,22
4,86,27,55
1,61,8,61
4,30,7,27
3,34,13,21
4,30,9,19
4,34,11,19
4,138,9,16
4,83,7,16
2,77,27,54
4,38,16,32
4,48,11,23
1,202,16,65
2,41,15,28
4,129,43,91
4,73,24,31
4,29,8,13
4,23,7,15
2,23,5,14
4,36,10,22
4,42,16,29
4,25,8,16
3,34,11,28
1,38,38,20
4,23,12,18
4,34,9,22
4,30,9,21
4,58,11,18
4,35,9,17
1,37,11,22
3,72,18,52
4,60,14,11
4,24,11,19
4,32,9,22
4,34,0,0
4,25,5,11
4,28,12,16
4,59,8,13
4,27,12,28
1,34,11,18
4,43,17,42
4,35,11,20
4,66,10,69
3,47,11,33
1,44,12,28
4,46,25,50
4,101,28,92
4,31,3,6
3,146,12,45
3,26,10,17
4,44,17,33
4,40,11,27
4,32,21,35
4,32,9,20
4,63,15,42
4,23,1,8
4,58,15,33
4,56,8,16
4,43,14,26
3,39,6,17
1,50,10,23
4,89,32,64
4,108,32,54
2,35,9,19
4,48,16,25
2,30,9,22
4,116,28,63
4,77,21,56
4,35,9,18
4,47,14,36
1,69,13,22
1,31,5,16
1,42,11,22
1,27,10,25
4,23,6,6
4,181,15,98
3,106,32,82
4,32,10,21
4,44,6,10
4,31,9,23
4,30,7,25
2,32,5,11
3,171,51,89
4,82,14,55
4,62,22,60
4,62,14,29
4,51,13,43
4,40,15,24
4,81,16,36
1,35,14,32
4,54,12,43
4,77,25,36
4,68,26,52
2,46,9,33
2,49,9,23
4,73,15,41
4,77,38,91
3,33,10,21
4,47,16,36
4,25,5,18
2,35,11,32
3,49,8,29
4,34,11,26
4,27,10,37
4,358,11,20
4,67,15,47
4,96,8,35
4,58,12,29
4,41,18,38
4,37,14,23
4,38,14,33
1,117,33,93
4,60,15,34
4,64,19,41
4,57,23,55
2,49,21,42
4,41,15,22
4,44,33,20
4,86,25,60
2,41,11,33
4,102,18,48
4,58,12,76
4,86,25,41
1,50,10,13
4,56,12,34
4,54,12,31
4,80,14,42
4,56,18,40
4,33,11,36
4,61,15,46
4,52,14,89
4,34,12,26
4,63,15,44
2,54,18,38
4,53,17,34
4,52,15,35
2,26,8,23
4,34,12,25
4,57,17,80
4,29,7,12
1,29,10,14
1,27,44,2
1,20,6,12
4,39,10,30
4,84,14,50
4,45,13,23
4,77,13,58
4,61,23,75
4,47,7,12
4,286,74,194
4,24,10,19
4,31,9,19
4,84,28,72
4,34,13,26
3,26,11,24
4,87,34,64
4,75,18,39
1,66,4,25
4,68,14,24
4,34,10,17
4,45,15,7
4,22,8,14
2,31,9,18
2,100,21,43
2,29,8,15
1,34,10,22
3,51,14,27
4,28,5,29
4,64,22,45
4,61,12,37
4,37,9,18
2,42,9,21
4,59,16,65
3,39,12,25
4,28,6,25
4,40,8,18
4,33,10,19
2,81,12,49
4,40,12,24
4,72,16,33
4,36,14,20
4,36,12,24
1,52,12,30
4,36,9,7
4,36,12,22
2,59,17,47
4,42,10,22
4,44,21,58
4,48,11,60
4,40,9,13
4,50,14,34
2,25,7,15
3,31,8,16
4,130,17,29
4,50,8,24
4,47,11,41
4,49,17,25
4,28,7,15
2,45,10,25
4,41,11,25
4,37,8,24
4,43,14,36
4,35,12,20
1,24,13,21
4,40,10,17
2,64,12,25
1,74,4,12
3,50,16,20
3,32,12,33
4,27,9,17
2,112,11,20
4,105,18,79
4,29,12,19
4,36,7,20
4,26,11,16
1,101,8,37
1,99,29,61
2,98,13,28
4,66,10,36
4,36,8,15
4,36,10,34
4,36,11,29
4,20,6,14
2,32,11,20
4,37,12,25
1,27,10,20
4,57,6,17
3,95,15,64
4,49,18,32
3,36,9,30
1,105,20,54
4,56,13,56
4,27,6,18
4,37,9,20
1,92,14,98
2,39,11,22
2,27,9,27
1,21,5,13
4,48,12,26
4,91,25,61
4,36,10,22
4,25,8,14
3,34,10,29
4,34,8,25
4,57,22,29
3,32,8,21
3,109,35,50
4,43,13,27
3,32,12,23
4,42,12,26
1,30,7,16
4,26,10,15
4,38,11,24
4,27,7,75
2,88,19,60
1,37,16,27
4,58,12,41
4,27,8,15
1,119,30,82
1,50,7,17
1,48,10,21
4,31,11,24
4,46,9,26
4,21,7,13
2,77,7,27
4,33,12,29
4,150,34,83
4,22,12,16
3,35,13,16
2,37,9,23
4,42,18,29
3,38,11,29
4,27,7,16
4,48,14,13
4,31,12,23
4,33,12,26
3,38,12,24
4,42,1,12
4,55,11,29
2,44,14,36
4,53,11,17
4,89,4,21
2,27,7,15
1,52,18,34
4,32,5,9
4,50,15,85
1,40,10,38
4,30,18,48
4,54,15,25
4,62,14,20
4,61,19,35
4,27,8,17
4,56,14,42
2,24,6,14
2,25,7,15
2,42,5,59
2,66,3,7
4,87,16,63
1,29,8,16
4,81,14,88
4,28,8,16
1,47,15,32
4,52,10,62
4,56,12,31
4,42,10,27
4,40,12,22
3,60,8,13
4,54,15,28
4,41,13,26
2,50,36,38
4,34,17,21
4,28,10,41
4,93,19,64
4,67,11,30
4,88,16,28
4,30,9,21
4,57,15,40
4,37,18,25
4,26,10,16
4,52,13,28
4,86,9,25
4,69,23,37
1,29,8,19
3,23,4,8
4,30,8,22
4,87,22,39
2,68,20,47
2,24,2,20
4,35,11,33
1,81,35,54
4,44,12,28
4,38,8,31
4,25,7,18
3,43,13,23
1,32,6,17
3,53,6,29
4,63,21,39
1,117,21,48
1,204,31,88
2,30,8,20
1,122,23,59
1,27,6,14
4,43,11,28
4,63,22,33
4,119,40,82
4,51,11,39
4,134,60,124
1,28,15,35
4,35,8,14
4,26,8,24
3,53,12,28
4,51,16,29
4,35,9,22
4,79,21,38
3,40,10,18
1,32,11,20
2,55,10,22
3,69,17,23
4,32,11,24
3,97,16,32
4,27,8,16
4,42,13,25
4,48,10,66
1,43,13,23
4,49,18,55
4,30,10,26
4,27,7,20
4,20,6,10
4,58,10,46
4,96,13,42
4,33,8,23
4,27,7,21
3,65,13,27
1,102,25,67
4,111,26,79
1,41,15,30
1,90,10,10
4,24,9,2
2,31,6,32
2,23,6,12
3,30,11,21
4,175,22,175
4,44,11,27
4,27,7,18
4,38,11,30
4,27,15,25
2,50,17,40
4,46,17,27
4,32,10,21
4,28,7,10
4,24,8,15
1,31,8,25
4,49,11,31
3,103,20,44
4,25,6,20
4,30,11,20
4,53,13,32
4,24,5,11
4,30,8,16
1,59,21,27
4,32,7,19
1,147,29,52
4,47,14,29
4,20,8,12
4,85,26,65
3,39,13,23
4,35,11,31
4,23,7,15
4,52,13,28
4,42,6,18
3,26,9,23
4,33,9,20
4,84,19,44
3,69,17,44
1,49,28,83
4,106,25,54
3,75,14,28
4,36,24,46
4,27,7,13
4,38,12,22
4,39,11,22
4,53,17,40
4,60,19,35
4,98,16,68
4,40,15,31
3,30,10,8
4,72,22,57
2,60,11,40
4,54,11,33
4,37,20,35
1,52,8,25
4,40,49,28
4,76,20,47
4,58,53,30
2,29,15,21
4,115,9,20
4,75,22,43
4,22,8,13
4,49,10,20
4,62,6,38
4,49,12,27
4,113,30,68
4,51,4,25
1,98,22,42
4,150,44,47
4,29,11,16
4,182,73,177
4,40,12,12
4,126,25,125
4,55,15,20
4,129,27,72
3,21,9,25
4,101,20,59
3,68,12,40
1,35,11,18
3,61,21,34
2,42,9,26
4,39,8,16
4,91,36,84
4,31,10,18
1,64,25,32
4,50,19,22
2,24,8,31
4,25,34,20
4,76,20,37
4,34,10,19
4,68,11,15
3,45,18,49
4,41,14,17
1,45,13,27
2,28,9,19
4,45,20,18
4,37,14,16
1,20,7,14
2,34,8,16
4,21,6,10
3,48,20,35
4,21,6,15
4,44,12,30
4,24,6,19
1,22,0,3
4,38,13,21
2,21,41,43
4,27,10,27
4,32,8,27
4,32,10,21
4,36,12,20
4,35,11,31
4,42,17,32
4,38,9,27
4,40,13,26
4,41,11,24
4,21,11,16
4,27,8,15
3,73,12,33
1,28,4,7
4,71,16,42
1,57,11,33
4,44,12,29
4,63,18,34
3,46,19,30
4,40,12,16
4,69,19,49
1,46,16,17
4,52,15,21
2,27,8,36
4,48,30,29
4,74,34,80
4,49,18,37
4,53,12,26
4,45,14,25
4,34,11,21
3,31,12,17
4,87,28,48
4,43,10,22
4,36,5,14
4,34,14,30
4,34,13,23
4,30,8,14
4,86,20,39
4,25,9,16
4,41,2,2
4,96,28,45
4,36,12,26
2,62,13,29
4,37,10,23
4,86,10,12
4,31,16,26
4,27,16,20
4,47,14,21
4,26,8,16
4,34,11,23
1,22,5,9
2,42,11,25
4,28,7,11
4,32,8,45
4,50,9,21
2,26,7,6
4,239,24,117
4,63,21,43
4,31,9,32
4,117,21,85
1,34,9,20
3,47,11,22
4,41,13,16
2,39,15,35
3,70,22,45
4,57,20,51
4,25,9,24
4,45,10,28
2,31,7,16
4,29,9,21
4,40,6,18
4,35,9,19
2,27,5,18
3,36,13,11
4,126,18,48
1,31,16,15
4,82,8,15
4,32,9,43
4,27,7,21
4,35,8,26
4,46,14,40
3,28,9,17
3,69,4,16
1,71,13,34
3,36,14,14
3,26,4,9
4,79,20,45
4,49,16,30
4,52,10,28
4,26,6,15
4,43,15,36
4,37,7,25
2,35,9,21
2,46,14,29
3,59,17,34
1,35,7,23
3,81,15,50
4,43,14,30
4,89,9,60
4,74,8,27
4,31,9,17
1,41,10,16
4,27,10,20
2,53,14,29
2,43,8,68
4,28,10,24
1,42,19,37
4,39,14,20
4,37,11,24
4,77,27,26
1,79,24,84
4,43,21,27
4,68,21,63
3,46,22,28
2,62,16,29
4,40,19,45
4,115,21,69
4,31,21,45
4,96,18,30
2,31,13,27
4,68,8,30
4,26,7,15
4,55,12,31
4,33,8,18
4,34,11,24
4,43,14,24
2,59,9,19
1,34,9,19
3,52,18,32
3,42,6,7
3,30,15,51
4,51,13,21
3,30,11,21
4,23,4,26
1,32,10,25
4,45,10,25
3,45,24,32
4,42,13,29
4,48,18,35
4,39,7,22
4,36,13,30
4,48,11,35
4,24,6,14
4,93,12,60
4,24,1,20
4,83,9,94
4,65,16,30
3,53,10,34
4,85,19,59
4,50,14,48
4,137,39,138
4,58,12,30
4,34,18,45
4,71,18,36
4,107,20,52
4,29,8,20
4,40,10,29
4,53,14,28
4,83,22,40
1,40,12,33
2,81,15,56
4,69,15,40
3,35,10,23
2,80,21,58
4,67,13,38
4,42,11,29
4,63,13,28
4,30,12,18
4,35,12,28
2,60,12,34
2,27,7,24
1,80,16,77
1,42,10,33
3,190,131,100
4,52,11,36
3,39,8,19
4,25,11,19
3,70,11,34
4,63,21,57
4,27,4,10
2,56,10,38
3,88,23,62
4,36,6,20
1,40,9,25
1,30,9,17
4,33,5,22
4,33,11,29
4,47,13,36
4,351,6,16
4,38,5,15
3,85,10,69
4,82,27,40
4,45,10,23
1,98,15,56
4,79,12,42
4,36,9,30
4,54,14,46
4,29,8,17
4,26,4,11
1,43,8,30
2,29,14,28
4,26,11,18
4,44,6,25
4,25,7,20
4,54,5,35
4,40,9,25
4,23,7,20
4,36,8,20
2,30,6,13
4,56,8,24
2,42,11,24
4,37,10,30
4,65,20,52
4,52,10,35
4,59,22,18
3,64,17,44
1,48,15,34
3,47,10,28
1,27,6,10
4,58,9,21
4,37,10,22
4,32,9,25
4,33,16,33
4,23,11,13
1,29,9,5
1,29,9,23
2,59,15,36
1,31,8,19
2,30,7,18
4,55,16,39
3,38,8,19
3,32,7,22
4,60,10,75
4,57,10,17
4,57,10,28
3,29,10,26
4,79,10,63
4,33,10,27
1,24,6,38
1,89,7,44
2,38,6,11
4,30,6,14
3,58,16,11
4,108,23,94
4,52,12,21
4,25,8,15
4,128,12,13
4,25,8,13
4,121,23,87
2,50,11,38
4,44,10,18
3,22,6,10
2,78,9,16
4,76,22,53
1,62,13,27
4,49,11,27
4,52,12,38
4,45,13,37
4,32,6,13
1,62,1,39
3,62,20,38
4,23,1,9
4,51,6,23
3,54,16,37
2,40,11,22
2,42,10,27
4,56,10,8
4,57,22,40
2,53,14,24
4,55,14,34
1,63,0,21
3,28,8,27
4,46,8,38
4,46,3,7
4,164,7,22
4,55,21,12
4,43,7,28
4,49,15,35
4,45,13,21
4,45,8,28
4,36,9,30
4,36,7,19
4,27,8,27
2,71,16,31
4,116,19,68
3,39,11,14
3,26,7,10
3,60,17,43
4,48,15,22
4,62,21,37
4,28,7,24
4,83,21,41
4,39,11,21
4,60,40,42
4,43,9,19
4,66,11,24
1,42,10,36
1,156,13,77
4,70,36,35
1,47,14,22
4,24,8,18
4,56,10,19
4,25,11,17
4,25,8,18
4,24,2,12
2,30,7,16
4,62,6,32
4,39,7,22
4,64,19,46
4,41,2,12
4,69,14,42
3,46,16,24
2,45,10,27
1,34,0,29
4,27,7,14
4,26,18,95
